Subject,Session,Condition,Mean_Amplitude,SD_Amplitude,Num_Epochs
sub-01,ses-01,Control,-3.501754450508368e-07,1.5614483388920733e-06,20
sub-01,ses-01,Noise,6.776348990722972e-07,1.421270157206386e-06,20
sub-01,ses-01,Speech,6.09971294205891e-07,1.8123552168013035e-06,20
sub-01,ses-02,Control,-2.0436604553525587e-07,1.634339145715744e-06,20
sub-01,ses-02,Noise,5.443122477555308e-07,1.3299197285983339e-06,20
sub-01,ses-02,Speech,4.5759136907382453e-07,1.194006650768906e-06,20
sub-02,ses-01,Control,2.9435167831206884e-07,1.6128266885859972e-06,20
sub-02,ses-01,Noise,4.4389409011404084e-08,2.262374826281097e-06,20
sub-02,ses-01,Speech,1.7826294094699502e-07,1.945023805104475e-06,20
sub-02,ses-02,Control,-5.835640463557418e-07,1.6483922814877294e-06,20
sub-02,ses-02,Noise,6.775249434679324e-07,2.2509609641002925e-06,20
sub-02,ses-02,Speech,8.714759673065339e-07,3.065488496052776e-06,20
sub-03,ses-01,Control,3.8519842858120006e-08,2.306401891811568e-06,20
sub-03,ses-01,Noise,5.793780237487432e-07,2.168432514287538e-06,20
sub-03,ses-01,Speech,-2.8646919754393576e-07,2.3326397323832236e-06,20
sub-03,ses-02,Control,-1.1354479637255364e-06,2.433028047310443e-06,20
sub-03,ses-02,Noise,7.985450535930464e-07,2.439466249339091e-06,20
sub-03,ses-02,Speech,5.15058799998977e-07,2.6466348964427142e-06,20
sub-04,ses-01,Control,2.200179508103802e-07,1.78066370299197e-06,20
sub-04,ses-01,Noise,4.0106381507256647e-07,1.5955660548846598e-06,20
sub-04,ses-01,Speech,5.91121587959156e-07,1.3860854916623088e-06,20
sub-04,ses-02,Control,7.566965369620566e-08,9.291471165244874e-07,20
sub-04,ses-02,Noise,-1.392247246392601e-07,9.979140548251072e-07,20
sub-04,ses-02,Speech,2.961416341742328e-07,1.4305126013961499e-06,20
sub-05,ses-01,Control,9.903939078465816e-09,1.7196542068738163e-06,20
sub-05,ses-01,Noise,-5.844613466363503e-07,1.8615593802972359e-06,20
sub-05,ses-01,Speech,5.49020277673051e-07,2.0416021485915274e-06,20
sub-05,ses-02,Control,-3.3716623578972523e-07,3.5701365404088725e-06,20
sub-05,ses-02,Noise,1.471415302434159e-06,3.7825851839226274e-06,20
sub-05,ses-02,Speech,-2.0257561802740876e-07,3.5656017416339907e-06,20
sub-07,ses-01,Control,1.8407512605313718e-07,1.1311459016037556e-06,20
sub-07,ses-01,Noise,1.7556961220128158e-07,1.1668691119393672e-06,20
sub-07,ses-01,Speech,1.707482740320839e-07,1.1753548805005116e-06,20
sub-07,ses-02,Control,-7.149763993523875e-08,9.293917722066384e-07,20
sub-07,ses-02,Noise,-2.5375713866390454e-07,8.931217488391204e-07,20
sub-07,ses-02,Speech,-7.419325172441369e-07,1.143791235981085e-06,20
sub-08,ses-01,Control,-4.0294348732313996e-08,7.041221172840364e-07,20
sub-08,ses-01,Noise,-5.525960730069775e-08,6.563921156609954e-07,20
sub-08,ses-01,Speech,-1.6359453796538366e-07,7.252822623657964e-07,20
sub-08,ses-02,Control,-6.619367095844026e-08,7.066804222414775e-07,20
sub-08,ses-02,Noise,3.260305317876928e-07,9.56778431262302e-07,20
sub-08,ses-02,Speech,-1.6370245926744196e-07,8.335467442841847e-07,20
sub-10,ses-01,Control,1.072172339833082e-06,2.670713678644799e-06,20
sub-10,ses-01,Noise,1.265604187476454e-07,3.983084579247153e-06,20
sub-10,ses-01,Speech,1.1564357612449283e-06,3.6885557689999836e-06,20
sub-10,ses-02,Control,2.0622825605889064e-07,2.9404007652358055e-06,20
sub-10,ses-02,Noise,7.04045958002113e-07,3.488124294067117e-06,20
sub-10,ses-02,Speech,6.778086455258988e-07,3.204815553768408e-06,20
sub-11,ses-01,Control,-5.927066148257166e-07,2.592189057541541e-06,20
sub-11,ses-01,Noise,7.221245013200513e-07,2.792500097232494e-06,20
sub-11,ses-01,Speech,4.0687973585103607e-07,2.804969828724152e-06,20
sub-11,ses-02,Control,1.9829852193440167e-07,1.513699736790206e-06,20
sub-11,ses-02,Noise,-1.8024091479464881e-07,1.6773233017904367e-06,20
sub-11,ses-02,Speech,2.347080518770674e-07,1.678225224652109e-06,20
sub-12,ses-01,Control,2.1463916033618554e-07,2.8193217050190114e-06,20
sub-12,ses-01,Noise,4.862645673428032e-07,2.074929058155729e-06,20
sub-12,ses-01,Speech,1.2067728991178575e-06,2.00930496511526e-06,20
sub-12,ses-02,Control,2.0171172005293698e-07,2.1276817597975078e-06,19
sub-12,ses-02,Noise,2.9775359717933053e-07,1.919157216010791e-06,20
sub-12,ses-02,Speech,-6.227366904043385e-07,1.6502138321645496e-06,20
sub-13,ses-01,Control,1.1627313435432879e-07,2.255059101970966e-06,20
sub-13,ses-01,Noise,4.577738767555503e-07,1.8509616306735757e-06,20
sub-13,ses-01,Speech,-8.010252466770529e-08,2.1259365022687707e-06,20
sub-13,ses-02,Control,-8.644562312050962e-07,3.1899334487684977e-06,20
sub-13,ses-02,Noise,3.9643207509680567e-07,2.8629768959290796e-06,20
sub-13,ses-02,Speech,3.8610755569883265e-07,3.902325506751406e-06,20
sub-16,ses-01,Control,5.16759365161669e-07,1.779647267339108e-06,20
sub-16,ses-01,Noise,3.463097959568509e-07,2.0567323062490694e-06,20
sub-16,ses-01,Speech,1.2131197596048104e-06,1.6051579775332333e-06,20
sub-16,ses-02,Control,3.3627276011321176e-07,9.505654678241981e-07,20
sub-16,ses-02,Noise,3.380983182498898e-07,1.0411327970824215e-06,20
sub-16,ses-02,Speech,3.624276944608835e-07,9.50951817619226e-07,20
sub-17,ses-01,Control,-8.813109501829266e-09,1.1816430543108862e-06,20
sub-17,ses-01,Noise,7.026691704748927e-08,1.28353943546079e-06,20
sub-17,ses-01,Speech,2.4930697853733663e-07,1.0764146226986341e-06,20
sub-17,ses-02,Control,-5.887891081497239e-07,1.6605529377178304e-06,20
sub-17,ses-02,Noise,-4.2629490678505046e-07,1.987584610226255e-06,20
sub-17,ses-02,Speech,5.007134473447513e-07,1.98673889930369e-06,20
sub-19,ses-01,Control,8.552138518596675e-09,1.4041345563128677e-06,20
sub-19,ses-01,Noise,1.7661733833241933e-07,1.458994778248769e-06,20
sub-19,ses-01,Speech,2.3075874746923655e-07,2.030982200590866e-06,20
sub-19,ses-02,Control,5.529440868946797e-07,1.7553158780646993e-06,20
sub-19,ses-02,Noise,1.3063413679526025e-07,2.016905131982652e-06,20
sub-19,ses-02,Speech,3.7075640727438866e-07,1.8054622632413791e-06,20
sub-21,ses-01,Control,8.472086244453078e-08,8.842797597036234e-07,20
sub-21,ses-01,Noise,-1.0220874278013288e-07,1.2457898435680742e-06,20
sub-21,ses-01,Speech,4.4333524253386633e-07,1.4289337598688307e-06,20
sub-21,ses-02,Control,-2.2943862738397554e-07,1.5420842595884348e-06,20
sub-21,ses-02,Noise,-2.974855980495953e-07,1.4522532065069203e-06,20
sub-21,ses-02,Speech,4.558010106422821e-08,1.5874017196211126e-06,20
sub-24,ses-01,Control,-3.172381656420908e-08,2.4347946407118783e-06,20
sub-24,ses-01,Noise,8.125024852288514e-07,1.6449868162178138e-06,20
sub-24,ses-01,Speech,7.139304994794609e-07,2.4289195668438796e-06,20
sub-24,ses-02,Control,-7.588454725035899e-07,2.3761631384582572e-06,20
sub-24,ses-02,Noise,3.9088818514180714e-07,2.553035655369652e-06,20
sub-24,ses-02,Speech,1.380492299933317e-06,2.75469743259267e-06,20
